Amostra,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,Tipo
1,32930,2397,157,0,0,313,560,1
2,37800,1740,249,8,8,56,197,1
3,92600,10200,0,0,0,6400,103150,1
4,8266,1061,22,0,0,107,498,1
5,9340,995,60,6,7,60,620,1
6,36036,4704,554,5,10,6,347,1
7,33046,619,58,2,0,51,1,1
8,40280,1069,1060,1,1,1,0,1
9,26788,18342,2111,27,0,704,0,1
10,78,20,11,13,28,0,784,2
11,305,100,33,161,541,440,3700,2
12,35,6,3,26,482,200,2240,2
13,543,120,41,411,1880,76,2800,2
14,1230,163,27,233,692,130,115,2
15,645,86,13,110,317,74,114,2
16,60,10,4,4,4,780,7600,2
17,95,10,0,11,39,122,467,2
18,6870,1028,79,900,5500,29,388,2
19,10092,5399,530,6500,37565,42,413,2
20,650,81,170,51,270,380,2000,2
21,210,22,6,6,7,19,74,2
22,385,60,8,53,159,465,1250,2
23,4230,690,5,196,1180,438,791,2
24,7600,1230,318,836,1560,4970,4080,2
25,595,80,9,89,244,524,2100,2
26,120,25,1,8,40,500,1600,2
27,8,0,0,43,101,192,4067,2
28,6454,2313,121,2159,6432,3628,225,2
29,2177,1049,207,440,705,4571,3923,2
30,1790,580,321,336,619,956,4250,2
31,1330,10,20,66,182,231,1820,2
32,4,1,2,7,52,93,519,2
33,1900,285,31,957,7730,681,732,2
34,57,24,2,27,30,540,2518,2
35,1000,500,1,400,500,200,1000,2
36,440,89,19,304,757,299,1190,3
37,210,43,12,102,187,167,1070,3
38,2850,1115,138,1987,3675,2330,4330,3
39,7020,1850,0,2960,4410,2140,1000,3
40,545,130,16,153,239,660,2850,3
41,7150,1440,97,1210,1760,608,2260,3
42,620,325,38,181,244,1480,2530,3
43,120,31,0,66,94,48,271,3
44,755,229,32,404,460,845,5580,3
45,5100,1430,0,1140,1010,117,197,3
46,13500,6110,212,4510,4040,8690,1460,3
47,1570,1110,175,1780,1830,135,602,3
48,3090,5020,323,3800,2540,270,400,3
49,1820,405,35,365,634,1010,8610,3
50,535,160,16,305,680,172,338,3
51,13,3,1,3,6,4,51,3
52,137,67,7,53,104,196,1678,3
53,1084,188,8,166,769,38,199,3
54,34,21,4,49,56,95,315,3
55,7940,2000,355,3120,5390,1130,285,3
56,150,130,9,55,30,120,200,3
57,8200,3790,250,4620,5830,31,85,3
58,260,215,35,334,277,130,416,3
59,75,15,7,14,26,105,322,3
60,530,345,85,266,250,3900,20000,3
61,60,5,2,21,21,188,2510,3
62,90,28,8,31,32,1380,11700,3
63,220,77,22,170,240,1800,13800,3
64,5900,1500,68,1200,2300,750,335,3
65,420,250,41,530,800,300,751,3
66,2800,2800,234,3500,3600,92,718,3
67,99,170,20,200,190,140,1160,3
68,310,230,54,610,760,150,631,3
69,800,160,23,260,600,490,690,3
70,1500,395,28,395,323,365,576,3
71,20000,13000,1850,29000,57000,2600,2430,3
72,305,85,25,197,130,813,8380,3
73,1900,530,35,383,434,1890,7570,3
74,110,62,90,140,250,680,6470,3
75,3700,1690,128,2810,3270,22,86,3
76,2770,660,54,712,763,522,1490,3
77,245,120,18,131,167,829,4250,3
78,1170,255,18,312,325,5,1800,3
79,4419,3564,668,2861,2025,909,9082,3
80,810,580,111,570,490,1100,6800,3
81,5000,1200,83,1000,1100,140,265,3
82,10000,6730,345,7330,10400,1980,3830,3
83,1570,735,87,1330,1740,711,4240,3
84,1270,3450,520,1390,8,483,44500,4
85,3420,7870,1500,6990,33,573,4640,4
86,360,610,259,260,9,12000,74200,4
87,1,27,49,4,1,53,254,4
88,3675,6392,2500,7691,5,101,833,4
89,48,610,29,10,0,1900,970,4
90,12,18,4,4,0,559,1710,4
91,66,60,2,7,0,76,90,4
92,1450,940,211,322,61,2420,3560,4
93,0,18900,410,540,330,3900,710,4
94,960,4000,1290,1560,6,15800,50300,4
95,24700,61000,26300,42100,1560,14400,30400,4
96,14,44,124,7,1,128,2746,4
97,2031,149,20,3,0,556,3008,4
98,480,1075,298,1132,0,464,1000,4
99,40000,400,70,600,6,800,218,4
100,8800,64064,72128,95650,0,290,90300,5
101,6709,10500,1400,17700,750,290,1500,5
102,1100,1600,221,2010,26,0,1430,5
103,290,966,299,1810,57,72,756,5
104,2500,10500,4790,13500,6,530,2310,5
105,1860,4980,0,10700,1600,158,1300,5
106,860,1670,30,2050,40,10,690,5
107,150,22,9,60,11,0,0,5
108,400,940,210,820,24,390,1700,5
109,6,2990,29990,26076,67,6,26,5
110,100,200,110,670,11,100,650,5
111,290,1260,231,820,8,228,826,5
112,1550,2740,816,5450,184,1140,9360,5
113,3910,4290,626,6040,1230,1800,11500,5
114,12705,23498,6047,34257,5188,4004,8539,5
115,1,8,8,100,6,300,5130,5
116,300,700,280,1700,36,760,9250,5
117,107,143,34,222,2,193,1330,5
118,134,134,157,45,0,1008,10528,6
119,100,200,200,200,20,1000,10000,6
120,0,225,225,110,3,785,4500,6
121,105,125,71,166,10,2000,18000,6
122,100,50,65,50,15,500,5000,6
123,100,70,70,170,10,1000,10000,6
124,150,0,0,220,8,0,0,6
125,0,224,224,112,5,2150,6720,6
126,200,50,50,200,3,1000,20000,6
127,85,0,80,35,70,0,0,6
128,175,0,100,375,3,0,0,6
129,80,0,200,100,4,800,0,6
130,150,0,200,100,15,1000,10000,6
131,125,100,100,150,20,500,6000,6
132,200,3,50,200,0,1000,20000,6
133,50,30,0,0,5,0,0,6
134,100,70,70,170,10,1000,10000,6
135,95,280,250,150,10,700,8000,6
136,60,40,50,60,3,540,5100,6
137,84,79,52,166,56,673,8068,6
138,66,111,90,110,15,865,12670,6
139,235,180,270,145,336,672,4256,6
140,250,150,150,250,150,1000,10000,6
141,150,0,0,220,150,0,0,6
142,200,50,50,200,30,1000,20000,6
143,134,224,550,224,154,672,3584,6
144,250,0,15,150,280,0,0,6
145,150,0,80,320,22,0,0,6
146,0,150,550,200,150,800,5000,6
147,150,0,200,200,150,1000,10000,6
148,200,100,100,100,50,500,10000,6
149,250,190,180,250,180,1000,10000,6
150,75,35,50,110,80,400,5300,6
151,151,131,73,250,266,848,11818,6
152,8288,1120,784,1344,19712,448,5600,6
153,31,6,8,3,1,260,705,6
154,22,7,4,5,0,180,650,6
155,80,18,20,0,1,0,0,6
156,170,16,8,0,1,0,0,6
157,50,10,10,10,5,1000,10000,6
158,120,0,0,10,5,0,0,6
159,150,0,0,8,3,0,0,6
160,85,0,0,9,5,0,0,6
161,70,0,0,30,4,0,0,6
162,135,0,0,30,4,0,0,6
163,1000,0,0,20,16,0,0,6
164,6,11,7,3,1,250,800,6
165,150,120,130,40,1,1100,4000,6
166,20,30,25,4,2,330,900,6
167,300,30,25,4,2,330,900,6
